epoch,accuracy,f1_beta_macro,f1_beta_micro,f1_macro,f1_micro,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_f1_beta_macro,val_f1_beta_micro,val_f1_macro,val_f1_micro,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp,learning_rate
0,0.23282650113105774,0.11909861862659454,0.23282645642757416,0.11909861862659454,0.23282645642757416,7268.0,36.0,2.673114776611328,0.7313432693481445,0.013304371386766434,235676.0,98.0,0.041964709758758545,0.0036954469978809357,0.041964661329984665,0.0036954469978809357,0.041964661329984665,2011.0,1287.0,7.478821754455566,0.06263656169176102,0.04101096838712692,65817.0,86.0,0.0010000000474974513
1,0.3527016043663025,0.20500415563583374,0.3527015447616577,0.20500415563583374,0.3527015447616577,6889.0,67.0,2.2163851261138916,0.876838207244873,0.06475698947906494,235645.0,477.0,0.2794468402862549,0.13965767621994019,0.2794467806816101,0.13965767621994019,0.2794467806816101,1880.0,158.0,2.262749433517456,0.5786666870117188,0.10348116606473923,66946.0,217.0,0.0010000000474974513
2,0.44841161370277405,0.277111679315567,0.4484115540981293,0.277111679315567,0.4484115540981293,6426.0,83.0,1.958950400352478,0.9188660979270935,0.127613365650177,235629.0,940.0,0.1463996171951294,0.0642576664686203,0.1463995724916458,0.0642576664686203,0.1463995724916458,1855.0,1029.0,9.240541458129883,0.19040125608444214,0.1154029592871666,66075.0,242.0,0.0010000000474974513
3,0.5536247491836548,0.35919955372810364,0.55362468957901,0.35919955372810364,0.55362468957901,5785.0,67.0,1.7077440023422241,0.9593446850776672,0.21463480591773987,235645.0,1581.0,0.09298998862504959,0.03630673885345459,0.09298993647098541,0.03630673885345459,0.09298993647098541,1910.0,1406.0,12.441243171691895,0.11738857626914978,0.08917500823736191,65698.0,187.0,0.0010000000474974513
4,0.6316861510276794,0.409000962972641,0.6316860914230347,0.409000962972641,0.6316860914230347,4864.0,73.0,1.469215750694275,0.9716504812240601,0.33966875076293945,235639.0,2502.0,0.12827849388122559,0.034319691359996796,0.128278449177742,0.034319691359996796,0.128278449177742,1842.0,1717.0,10.469584465026855,0.12931033968925476,0.12160228937864304,65387.0,255.0,0.0010000000474974513
5,0.6880260705947876,0.4563741087913513,0.6880260109901428,0.4563741087913513,0.6880260109901428,4151.0,47.0,1.2944585084915161,0.9855916500091553,0.4364648461341858,235665.0,3215.0,0.5846447348594666,0.3793478310108185,0.5846446752548218,0.3793478310108185,0.5846446752548218,1092.0,326.0,1.2982169389724731,0.7550714015960693,0.4792560935020447,66778.0,1005.0,0.0005000000237487257
6,0.7130057215690613,0.4818081259727478,0.7130056023597717,0.4818081259727478,0.7130056023597717,3716.0,51.0,1.1864593029022217,0.9862199425697327,0.4955199658870697,235661.0,3650.0,0.2222222238779068,0.10617287456989288,0.22222217917442322,0.10617287456989288,0.22222217917442322,1661.0,1189.0,3.935425281524658,0.2683076858520508,0.20791606605052948,65915.0,436.0,0.0005000000237487257
7,0.7383925914764404,0.5029828548431396,0.7383924722671509,0.5029828548431396,0.7383924722671509,3344.0,42.0,1.0923200845718384,0.9896653294563293,0.5460222363471985,235670.0,4022.0,0.5064377784729004,0.2861981987953186,0.5064377188682556,0.2861981987953186,0.5064377188682556,1122.0,293.0,1.7762869596481323,0.7689274549484253,0.46494993567466736,66811.0,975.0,0.0005000000237487257
8,0.7575346231460571,0.5220370888710022,0.7575345039367676,0.5220370888710022,0.7575345039367676,3069.0,44.0,1.0300931930541992,0.9898641109466553,0.5833559632301331,235668.0,4297.0,0.5026227831840515,0.288725346326828,0.5026227235794067,0.288725346326828,0.5026227235794067,1089.0,806.0,5.964761734008789,0.5556780695915222,0.4806866943836212,66298.0,1008.0,0.0005000000237487257
9,0.777355432510376,0.5489655137062073,0.7773553729057312,0.5489655137062073,0.7773553729057312,2878.0,40.0,0.9639809131622314,0.9911660552024841,0.6092858910560608,235672.0,4488.0,0.6080114245414734,0.37350937724113464,0.6080113649368286,0.37350937724113464,0.6080113649368286,895.0,495.0,1.8192788362503052,0.708308756351471,0.5731998085975647,66609.0,1202.0,0.0002500000118743628
10,0.7823784947395325,0.5517501831054688,0.7823784351348877,0.5517501831054688,0.7823784351348877,2764.0,38.0,0.9361854195594788,0.9918103218078613,0.6247624158859253,235674.0,4602.0,0.6185026168823242,0.3953024446964264,0.6185025572776794,0.3953024446964264,0.6185025572776794,881.0,567.0,3.758620023727417,0.6819966435432434,0.5798760056495667,66537.0,1216.0,0.0002500000118743628
