,Class,Precision,Recall,F1-Score,Precision CI,Recall CI,F1-Score CI,Support
0,Class 0,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.2775)","(np.float64(0.0), np.float64(0.0))",10
1,Class 1,0.9767,0.9767,0.9767,"(0.8794, 0.9959)","(0.8794, 0.9959)","(np.float64(0.9434), np.float64(1.0101))",43
2,Class 2,1.0,0.98,0.9899,"(0.9623, 1.0)","(0.93, 0.9945)","(np.float64(0.9747), np.float64(1.0051))",100
3,Class 3,1.0,1.0,1.0,"(0.8865, 1.0)","(0.8865, 1.0)","(np.float64(1.0), np.float64(1.0))",30
4,Class 4,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.3903)","(np.float64(0.0), np.float64(0.0))",6
5,Class 5,1.0,0.9783,0.989,"(0.9213, 1.0)","(0.8866, 0.9962)","(np.float64(0.9666), np.float64(1.0114))",46
6,Class 6,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.3903)","(np.float64(0.0), np.float64(0.0))",6
7,Class 7,1.0,0.7,0.8235,"(0.7847, 1.0)","(0.481, 0.8545)","(np.float64(0.684), np.float64(0.9631))",20
8,Class 8,1.0,0.9149,0.9556,"(0.918, 1.0)","(0.8007, 0.9664)","(np.float64(0.9107), np.float64(1.0004))",47
9,Class 9,0.9259,0.9615,0.9434,"(0.8245, 0.9708)","(0.8702, 0.9894)","(np.float64(0.8966), np.float64(0.9902))",52
10,Class 10,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.3543)","(np.float64(0.0), np.float64(0.0))",7
11,Class 11,0.9512,0.9286,0.9398,"(0.8386, 0.9865)","(0.8099, 0.9754)","(np.float64(0.8856), np.float64(0.9939))",42
12,Class 12,0.931,0.931,0.931,"(0.7804, 0.9809)","(0.7804, 0.9809)","(np.float64(0.8624), np.float64(0.9997))",29
13,Class 13,0.4643,0.9286,0.619,"(0.2953, 0.6419)","(0.6853, 0.9873)","(np.float64(0.4465), np.float64(0.7916))",14
14,Class 14,0.7656,0.9245,0.8376,"(0.6487, 0.8525)","(0.8214, 0.9703)","(np.float64(0.7642), np.float64(0.911))",53
15,Class 15,1.0,0.8947,0.9444,"(0.8985, 1.0)","(0.7587, 0.9583)","(np.float64(0.8888), np.float64(1.0001))",38
16,Class 16,1.0,0.9839,0.9919,"(0.9408, 1.0)","(0.9141, 0.9971)","(np.float64(0.9751), np.float64(1.0086))",62
17,Class 17,1.0,1.0,1.0,"(0.9358, 1.0)","(0.9358, 1.0)","(np.float64(1.0), np.float64(1.0))",56
18,Class 18,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.2991)","(np.float64(0.0), np.float64(0.0))",9
19,Class 19,0.9535,0.8723,0.9111,"(0.8454, 0.9872)","(0.7483, 0.9402)","(np.float64(0.8482), np.float64(0.974))",47
20,Class 20,1.0,0.7222,0.8387,"(0.7719, 1.0)","(0.4913, 0.875)","(np.float64(0.6986), np.float64(0.9788))",18
21,Class 21,0.2388,0.8421,0.3721,"(0.1527, 0.3533)","(0.6243, 0.9448)","(np.float64(0.2411), np.float64(0.503))",19
22,Class 22,1.0,0.92,0.9583,"(0.9229, 1.0)","(0.8116, 0.9685)","(np.float64(0.9162), np.float64(1.0005))",50
23,Class 23,0.8571,0.7059,0.7742,"(0.6006, 0.9599)","(0.4687, 0.8672)","(np.float64(0.6107), np.float64(0.9377))",17
24,Class 24,0.8421,0.64,0.7273,"(0.6243, 0.9448)","(0.4452, 0.7975)","(np.float64(0.5784), np.float64(0.8761))",25
25,Class 25,1.0,0.9792,0.9895,"(0.9244, 1.0)","(0.891, 0.9963)","(np.float64(0.968), np.float64(1.0109))",48
26,Class 26,1.0,0.9545,0.9767,"(0.9162, 1.0)","(0.8487, 0.9874)","(np.float64(0.9434), np.float64(1.0101))",44
27,Class 27,0.5882,0.6667,0.625,"(0.3601, 0.7839)","(0.4171, 0.8482)","(np.float64(0.4282), np.float64(0.8218))",15
28,Class 28,0.9412,0.96,0.9505,"(0.8408, 0.9798)","(0.8654, 0.989)","(np.float64(0.9056), np.float64(0.9954))",50
29,Class 29,0.0476,0.0769,0.0588,"(0.0085, 0.2267)","(0.0137, 0.3331)","(np.float64(-0.0521), np.float64(0.1698))",13
30,Class 30,0.9811,0.9811,0.9811,"(0.9006, 0.9967)","(0.9006, 0.9967)","(np.float64(0.9539), np.float64(1.0084))",53
31,Class 31,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.3543)","(np.float64(0.0), np.float64(0.0))",7
32,Class 32,0.5455,0.75,0.6316,"(0.2801, 0.7873)","(0.4093, 0.9285)","(np.float64(0.3778), np.float64(0.8854))",8
33,micro,0.8773,0.8773,0.8773,"(np.float64(0.8578), np.float64(0.8968))","(np.float64(0.8578), np.float64(0.8968))","(np.float64(0.8578), np.float64(0.8968))",1084
34,macro,,0.7022,0.689,"(np.float64(nan), np.float64(nan))","(np.float64(0.6936), np.float64(0.7109))","(np.float64(0.677), np.float64(0.7009))",1084
