,Class,Precision,Recall,F1-Score,Precision CI,Recall CI,F1-Score CI,Support
0,Class 0,1.0,1.0,1.0,"(0.7225, 1.0)","(0.7225, 1.0)","(np.float64(1.0), np.float64(1.0))",10
1,Class 1,1.0,1.0,1.0,"(0.918, 1.0)","(0.918, 1.0)","(np.float64(1.0), np.float64(1.0))",43
2,Class 2,1.0,1.0,1.0,"(0.963, 1.0)","(0.963, 1.0)","(np.float64(1.0), np.float64(1.0))",100
3,Class 3,1.0,1.0,1.0,"(0.8865, 1.0)","(0.8865, 1.0)","(np.float64(1.0), np.float64(1.0))",30
4,Class 4,1.0,0.8333,0.9091,"(0.5655, 1.0)","(0.4365, 0.9699)","(np.float64(0.7312), np.float64(1.087))",6
5,Class 5,1.0,1.0,1.0,"(0.9229, 1.0)","(0.9229, 1.0)","(np.float64(1.0), np.float64(1.0))",46
6,Class 6,1.0,0.8333,0.9091,"(0.5655, 1.0)","(0.4365, 0.9699)","(np.float64(0.7312), np.float64(1.087))",6
7,Class 7,1.0,1.0,1.0,"(0.8389, 1.0)","(0.8389, 1.0)","(np.float64(1.0), np.float64(1.0))",20
8,Class 8,0.9592,1.0,0.9792,"(0.8629, 0.9887)","(0.9244, 1.0)","(np.float64(0.9492), np.float64(1.0091))",47
9,Class 9,1.0,1.0,1.0,"(0.9312, 1.0)","(0.9312, 1.0)","(np.float64(1.0), np.float64(1.0))",52
10,Class 10,1.0,0.8571,0.9231,"(0.6097, 1.0)","(0.4869, 0.9743)","(np.float64(0.7722), np.float64(1.0739))",7
11,Class 11,1.0,1.0,1.0,"(0.9162, 1.0)","(0.9162, 1.0)","(np.float64(1.0), np.float64(1.0))",42
12,Class 12,1.0,1.0,1.0,"(0.883, 1.0)","(0.883, 1.0)","(np.float64(1.0), np.float64(1.0))",29
13,Class 13,1.0,1.0,1.0,"(0.7847, 1.0)","(0.7847, 1.0)","(np.float64(1.0), np.float64(1.0))",14
14,Class 14,1.0,1.0,1.0,"(0.9324, 1.0)","(0.9324, 1.0)","(np.float64(1.0), np.float64(1.0))",53
15,Class 15,1.0,1.0,1.0,"(0.9082, 1.0)","(0.9082, 1.0)","(np.float64(1.0), np.float64(1.0))",38
16,Class 16,1.0,1.0,1.0,"(0.9417, 1.0)","(0.9417, 1.0)","(np.float64(1.0), np.float64(1.0))",62
17,Class 17,1.0,1.0,1.0,"(0.9358, 1.0)","(0.9358, 1.0)","(np.float64(1.0), np.float64(1.0))",56
18,Class 18,1.0,1.0,1.0,"(0.7009, 1.0)","(0.7009, 1.0)","(np.float64(1.0), np.float64(1.0))",9
19,Class 19,1.0,1.0,1.0,"(0.9244, 1.0)","(0.9244, 1.0)","(np.float64(1.0), np.float64(1.0))",47
20,Class 20,1.0,1.0,1.0,"(0.8241, 1.0)","(0.8241, 1.0)","(np.float64(1.0), np.float64(1.0))",18
21,Class 21,0.9048,1.0,0.95,"(0.7109, 0.9735)","(0.8318, 1.0)","(np.float64(0.8799), np.float64(1.0201))",19
22,Class 22,1.0,1.0,1.0,"(0.9287, 1.0)","(0.9287, 1.0)","(np.float64(1.0), np.float64(1.0))",50
23,Class 23,1.0,1.0,1.0,"(0.8157, 1.0)","(0.8157, 1.0)","(np.float64(1.0), np.float64(1.0))",17
24,Class 24,1.0,1.0,1.0,"(0.8668, 1.0)","(0.8668, 1.0)","(np.float64(1.0), np.float64(1.0))",25
25,Class 25,1.0,1.0,1.0,"(0.9259, 1.0)","(0.9259, 1.0)","(np.float64(1.0), np.float64(1.0))",48
26,Class 26,1.0,1.0,1.0,"(0.9197, 1.0)","(0.9197, 1.0)","(np.float64(1.0), np.float64(1.0))",44
27,Class 27,1.0,1.0,1.0,"(0.7961, 1.0)","(0.7961, 1.0)","(np.float64(1.0), np.float64(1.0))",15
28,Class 28,1.0,1.0,1.0,"(0.9287, 1.0)","(0.9287, 1.0)","(np.float64(1.0), np.float64(1.0))",50
29,Class 29,1.0,1.0,1.0,"(0.7719, 1.0)","(0.7719, 1.0)","(np.float64(1.0), np.float64(1.0))",13
30,Class 30,1.0,1.0,1.0,"(0.9324, 1.0)","(0.9324, 1.0)","(np.float64(1.0), np.float64(1.0))",53
31,Class 31,1.0,0.8571,0.9231,"(0.6097, 1.0)","(0.4869, 0.9743)","(np.float64(0.7722), np.float64(1.0739))",7
32,Class 32,1.0,1.0,1.0,"(0.6756, 1.0)","(0.6756, 1.0)","(np.float64(1.0), np.float64(1.0))",8
33,micro,0.9963,0.9963,0.9963,"(np.float64(0.9927), np.float64(0.9999))","(np.float64(0.9927), np.float64(0.9999))","(np.float64(0.9927), np.float64(0.9999))",1084
34,macro,0.9959,0.9812,0.9877,"(np.float64(0.9922), np.float64(0.9996))","(np.float64(0.9689), np.float64(0.9935))","(np.float64(0.9772), np.float64(0.9981))",1084
