,precision,recall,f1-score,support
0,1.0,0.9,0.9473684210526315,10.0
1,1.0,1.0,1.0,43.0
2,1.0,1.0,1.0,100.0
3,1.0,1.0,1.0,30.0
4,1.0,0.8333333333333334,0.9090909090909091,6.0
5,1.0,1.0,1.0,46.0
6,1.0,0.8333333333333334,0.9090909090909091,6.0
7,1.0,1.0,1.0,20.0
8,0.9791666666666666,1.0,0.9894736842105263,47.0
9,1.0,1.0,1.0,52.0
10,1.0,0.8571428571428571,0.9230769230769231,7.0
11,1.0,1.0,1.0,42.0
12,1.0,1.0,1.0,29.0
13,1.0,1.0,1.0,14.0
14,0.8983050847457628,1.0,0.9464285714285714,53.0
15,1.0,1.0,1.0,38.0
16,1.0,1.0,1.0,62.0
17,1.0,1.0,1.0,56.0
18,1.0,0.8888888888888888,0.9411764705882353,9.0
19,1.0,1.0,1.0,47.0
20,1.0,1.0,1.0,18.0
21,1.0,0.9473684210526315,0.972972972972973,19.0
22,1.0,0.98,0.98989898989899,50.0
23,1.0,1.0,1.0,17.0
24,1.0,1.0,1.0,25.0
25,1.0,1.0,1.0,48.0
26,1.0,1.0,1.0,44.0
27,1.0,0.9333333333333333,0.9655172413793104,15.0
28,0.9259259259259259,1.0,0.9615384615384616,50.0
29,1.0,0.9230769230769231,0.96,13.0
30,1.0,1.0,1.0,53.0
31,1.0,0.8571428571428571,0.9230769230769231,7.0
32,1.0,0.875,0.9333333333333333,8.0
accuracy,0.9898523985239852,0.9898523985239852,0.9898523985239852,0.9898523985239852
macro avg,0.994042353858738,0.9645036347667926,0.9779407215375362,1084.0
weighted avg,0.9907078405176708,0.9898523985239852,0.9897880092871888,1084.0
