,Class,Precision,Recall,F1-Score,Precision CI,Recall CI,F1-Score CI,Support
0,Class 0,1.0,0.9,0.9474,"(0.7009, 1.0)","(0.5958, 0.9821)","(np.float64(0.8437), np.float64(1.051))",10
1,Class 1,1.0,1.0,1.0,"(0.918, 1.0)","(0.918, 1.0)","(np.float64(1.0), np.float64(1.0))",43
2,Class 2,1.0,1.0,1.0,"(0.963, 1.0)","(0.963, 1.0)","(np.float64(1.0), np.float64(1.0))",100
3,Class 3,1.0,1.0,1.0,"(0.8865, 1.0)","(0.8865, 1.0)","(np.float64(1.0), np.float64(1.0))",30
4,Class 4,1.0,0.8333,0.9091,"(0.5655, 1.0)","(0.4365, 0.9699)","(np.float64(0.7312), np.float64(1.087))",6
5,Class 5,1.0,1.0,1.0,"(0.9229, 1.0)","(0.9229, 1.0)","(np.float64(1.0), np.float64(1.0))",46
6,Class 6,1.0,0.8333,0.9091,"(0.5655, 1.0)","(0.4365, 0.9699)","(np.float64(0.7312), np.float64(1.087))",6
7,Class 7,1.0,1.0,1.0,"(0.8389, 1.0)","(0.8389, 1.0)","(np.float64(1.0), np.float64(1.0))",20
8,Class 8,0.9792,1.0,0.9895,"(0.891, 0.9963)","(0.9244, 1.0)","(np.float64(0.968), np.float64(1.0109))",47
9,Class 9,1.0,1.0,1.0,"(0.9312, 1.0)","(0.9312, 1.0)","(np.float64(1.0), np.float64(1.0))",52
10,Class 10,1.0,0.8571,0.9231,"(0.6097, 1.0)","(0.4869, 0.9743)","(np.float64(0.7722), np.float64(1.0739))",7
11,Class 11,1.0,1.0,1.0,"(0.9162, 1.0)","(0.9162, 1.0)","(np.float64(1.0), np.float64(1.0))",42
12,Class 12,1.0,1.0,1.0,"(0.883, 1.0)","(0.883, 1.0)","(np.float64(1.0), np.float64(1.0))",29
13,Class 13,1.0,1.0,1.0,"(0.7847, 1.0)","(0.7847, 1.0)","(np.float64(1.0), np.float64(1.0))",14
14,Class 14,0.8983,1.0,0.9464,"(0.7954, 0.9526)","(0.9324, 1.0)","(np.float64(0.9021), np.float64(0.9908))",53
15,Class 15,1.0,1.0,1.0,"(0.9082, 1.0)","(0.9082, 1.0)","(np.float64(1.0), np.float64(1.0))",38
16,Class 16,1.0,1.0,1.0,"(0.9417, 1.0)","(0.9417, 1.0)","(np.float64(1.0), np.float64(1.0))",62
17,Class 17,1.0,1.0,1.0,"(0.9358, 1.0)","(0.9358, 1.0)","(np.float64(1.0), np.float64(1.0))",56
18,Class 18,1.0,0.8889,0.9412,"(0.6756, 1.0)","(0.565, 0.9801)","(np.float64(0.8255), np.float64(1.0569))",9
19,Class 19,1.0,1.0,1.0,"(0.9244, 1.0)","(0.9244, 1.0)","(np.float64(1.0), np.float64(1.0))",47
20,Class 20,1.0,1.0,1.0,"(0.8241, 1.0)","(0.8241, 1.0)","(np.float64(1.0), np.float64(1.0))",18
21,Class 21,1.0,0.9474,0.973,"(0.8241, 1.0)","(0.7536, 0.9906)","(np.float64(0.9193), np.float64(1.0267))",19
22,Class 22,1.0,0.98,0.9899,"(0.9273, 1.0)","(0.895, 0.9965)","(np.float64(0.9693), np.float64(1.0105))",50
23,Class 23,1.0,1.0,1.0,"(0.8157, 1.0)","(0.8157, 1.0)","(np.float64(1.0), np.float64(1.0))",17
24,Class 24,1.0,1.0,1.0,"(0.8668, 1.0)","(0.8668, 1.0)","(np.float64(1.0), np.float64(1.0))",25
25,Class 25,1.0,1.0,1.0,"(0.9259, 1.0)","(0.9259, 1.0)","(np.float64(1.0), np.float64(1.0))",48
26,Class 26,1.0,1.0,1.0,"(0.9197, 1.0)","(0.9197, 1.0)","(np.float64(1.0), np.float64(1.0))",44
27,Class 27,1.0,0.9333,0.9655,"(0.7847, 1.0)","(0.7018, 0.9881)","(np.float64(0.8972), np.float64(1.0338))",15
28,Class 28,0.9259,1.0,0.9615,"(0.8245, 0.9708)","(0.9287, 1.0)","(np.float64(0.9225), np.float64(1.0006))",50
29,Class 29,1.0,0.9231,0.96,"(0.7575, 1.0)","(0.6669, 0.9863)","(np.float64(0.881), np.float64(1.039))",13
30,Class 30,1.0,1.0,1.0,"(0.9324, 1.0)","(0.9324, 1.0)","(np.float64(1.0), np.float64(1.0))",53
31,Class 31,1.0,0.8571,0.9231,"(0.6097, 1.0)","(0.4869, 0.9743)","(np.float64(0.7722), np.float64(1.0739))",7
32,Class 32,1.0,0.875,0.9333,"(0.6457, 1.0)","(0.5291, 0.9776)","(np.float64(0.8024), np.float64(1.0643))",8
33,micro,0.9899,0.9899,0.9899,"(np.float64(0.9839), np.float64(0.9958))","(np.float64(0.9839), np.float64(0.9958))","(np.float64(0.9839), np.float64(0.9958))",1084
34,macro,0.994,0.9645,0.9779,"(np.float64(0.9856), np.float64(1.0025))","(np.float64(0.9493), np.float64(0.9797))","(np.float64(0.9674), np.float64(0.9885))",1084
