epoch;accuracy;f1_beta_macro;f1_beta_micro;f1_macro;f1_micro;fn;fp;learning_rate;loss;precision;recall;tn;tp;val_accuracy;val_f1_beta_macro;val_f1_beta_micro;val_f1_macro;val_f1_micro;val_fn;val_fp;val_loss;val_precision;val_recall;val_tn;val_tp
0;0.13494433462619781;0.04162708297371864;0.13494428992271423;0.04162708297371864;0.13494428992271423;7355.0;22.0;0.0010000000474974513;2.991589069366455;0.3333333432674408;0.0014933478087186813;235690.0;11.0;0.09442060440778732;0.01873386651277542;0.09442055225372314;0.01873386651277542;0.09442055225372314;1996.0;556.0;4.84762716293335;0.15372906625270844;0.048164043575525284;66548.0;101.0
1;0.175943523645401;0.063824363052845;0.17594347894191742;0.063824363052845;0.17594347894191742;7351.0;17.0;0.0010000000474974513;2.7825188636779785;0.46875;0.0020363833755254745;235695.0;15.0;0.18884120881557465;0.06503842025995255;0.18884116411209106;0.06503842025995255;0.18884116411209106;1983.0;202.0;2.6975138187408447;0.3607594966888428;0.05436337739229202;66902.0;114.0
2;0.21884334087371826;0.09859094768762589;0.21884329617023468;0.09859094768762589;0.21884329617023468;7313.0;15.0;0.0010000000474974513;2.64475679397583;0.779411792755127;0.00719522126019001;235697.0;53.0;0.22651407122612;0.09342404454946518;0.2265140265226364;0.09342404454946518;0.2265140265226364;1959.0;178.0;2.4782657623291016;0.43670886754989624;0.06580829620361328;66926.0;138.0
3;0.27559053897857666;0.1348484307527542;0.2755904793739319;0.1348484307527542;0.2755904793739319;7170.0;43.0;0.0010000000474974513;2.4980194568634033;0.8200836777687073;0.026608742773532867;235669.0;196.0;0.31711968779563904;0.1614016890525818;0.31711962819099426;0.1614016890525818;0.31711962819099426;1904.0;97.0;2.251218795776367;0.665517270565033;0.09203623980283737;67007.0;193.0
4;0.3487645983695984;0.19024695456027985;0.3487645387649536;0.19024695456027985;0.3487645387649536;6987.0;69.0;0.0010000000474974513;2.3185982704162598;0.8459821343421936;0.051452621817588806;235643.0;379.0;0.48688602447509766;0.2813393771648407;0.4868859648704529;0.2813393771648407;0.4868859648704529;1759.0;42.0;1.8953033685684204;0.8894736766815186;0.16118264198303223;67062.0;338.0
5;0.4679608941078186;0.2764500677585602;0.46796083450317383;0.2764500677585602;0.46796083450317383;6460.0;31.0;0.0010000000474974513;2.067664384841919;0.9669156670570374;0.12299755960702896;235681.0;906.0;0.6223176121711731;0.3804526925086975;0.6223175525665283;0.3804526925086975;0.6223175525665283;1378.0;10.0;1.577602744102478;0.9862825870513916;0.3428707718849182;67094.0;719.0
6;0.5848492980003357;0.3592272698879242;0.5848492383956909;0.3592272698879242;0.5848492383956909;5561.0;25.0;0.0010000000474974513;1.751866340637207;0.9863387942314148;0.2450447976589203;235687.0;1805.0;0.6294706463813782;0.3800937533378601;0.6294705867767334;0.3800937533378601;0.6294705867767334;1266.0;18.0;1.3634413480758667;0.9787985682487488;0.3962804079055786;67086.0;831.0
7;0.67024165391922;0.4181874692440033;0.6702415943145752;0.4181874692440033;0.6702415943145752;4604.0;17.0;0.0010000000474974513;1.4355446100234985;0.9938827157020569;0.3749660551548004;235695.0;2762.0;0.7410586476325989;0.49271589517593384;0.7410585880279541;0.49271589517593384;0.7410585880279541;922.0;1.0;1.035690188407898;0.9991496801376343;0.5603242516517639;67103.0;1175.0
8;0.7328264713287354;0.47038593888282776;0.7328264117240906;0.47038593888282776;0.7328264117240906;3780.0;4.0;0.0010000000474974513;1.1885769367218018;0.9988858103752136;0.486831396818161;235708.0;3586.0;0.8278493285179138;0.6110549569129944;0.827849268913269;0.6110549569129944;0.827849268913269;669.0;0.0;0.7921566963195801;1.0;0.6809728145599365;67104.0;1428.0
9;0.7916101217269897;0.5459139347076416;0.791610062122345;0.5459139347076416;0.791610062122345;2978.0;2.0;0.0010000000474974513;0.9792733788490295;0.9995444416999817;0.595710039138794;235710.0;4388.0;0.8516929149627686;0.6147140860557556;0.8516928553581238;0.6147140860557556;0.8516928553581238;548.0;0.0;0.6119505763053894;1.0;0.7386742830276489;67104.0;1549.0
10;0.8385826945304871;0.6052128076553345;0.8385826945304871;0.6052128076553345;0.8385826945304871;2328.0;2.0;0.0010000000474974513;0.7986907362937927;0.9996031522750854;0.6839532852172852;235710.0;5038.0;0.9227467775344849;0.7279839515686035;0.9227467179298401;0.7279839515686035;0.9227467179298401;421.0;0.0;0.4544677734375;1.0;0.7992370128631592;67104.0;1676.0
