epoch,accuracy,f1_beta_macro,f1_beta_micro,f1_macro,f1_micro,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_f1_beta_macro,val_f1_beta_micro,val_f1_macro,val_f1_micro,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp,learning_rate
0,0.151778444647789,0.05421296879649162,0.15177839994430542,0.05421296879649162,0.15177839994430542,7360.0,7.0,2.921571969985962,0.4615384638309479,0.0008145533502101898,235705.0,6.0,0.11397234350442886,0.023604601621627808,0.11397229135036469,0.023604601621627808,0.11397229135036469,2009.0,193.0,2.992793321609497,0.3131672739982605,0.041964709758758545,66911.0,88.0,0.0010000000474974513
1,0.2613358795642853,0.12632201611995697,0.2613358199596405,0.12632201611995697,0.2613358199596405,7328.0,7.0,2.6251220703125,0.8444444537162781,0.0051588378846645355,235705.0,38.0,0.1645207405090332,0.04967451095581055,0.16452069580554962,0.04967451095581055,0.16452069580554962,1995.0,190.0,2.4998269081115723,0.3493150770664215,0.048640914261341095,66914.0,102.0,0.0010000000474974513
2,0.37564486265182495,0.20836646854877472,0.3756448030471802,0.20836646854877472,0.3756448030471802,7032.0,10.0,2.3549814224243164,0.9709302186965942,0.04534346982836723,235702.0,334.0,0.3781592845916748,0.19407318532466888,0.37815922498703003,0.19407318532466888,0.37815922498703003,1726.0,100.0,2.030806541442871,0.787685751914978,0.17691941559314728,67004.0,371.0,0.0010000000474974513
3,0.5139831900596619,0.3044743835926056,0.5139831304550171,0.3044743835926056,0.5139831304550171,6297.0,17.0,2.0241928100585938,0.9843462109565735,0.14512625336647034,235695.0,1069.0,0.5302813649177551,0.3210974931716919,0.5302813053131104,0.3210974931716919,0.5302813053131104,1502.0,48.0,1.7281498908996582,0.9253499507904053,0.2837386727333069,67056.0,595.0,0.0010000000474974513
4,0.6088786125183105,0.3822062611579895,0.6088785529136658,0.3822062611579895,0.6088785529136658,5539.0,10.0,1.716578483581543,0.9945563673973083,0.24803149700164795,235702.0,1827.0,0.6986171007156372,0.44893521070480347,0.6986170411109924,0.44893521070480347,0.6986170411109924,1300.0,6.0,1.280367136001587,0.9925280213356018,0.38006675243377686,67098.0,797.0,0.0010000000474974513
5,0.679066002368927,0.43488746881484985,0.6790659427642822,0.43488746881484985,0.6790659427642822,4781.0,5.0,1.4484397172927856,0.9980695247650146,0.35093674063682556,235707.0,2585.0,0.7572723031044006,0.48950907588005066,0.7572722434997559,0.48950907588005066,0.7572722434997559,882.0,0.0,1.0079222917556763,1.0,0.5793991684913635,67104.0,1215.0,0.0010000000474974513
6,0.7325549721717834,0.48406821489334106,0.7325549125671387,0.48406821489334106,0.7325549125671387,3848.0,2.0,1.2169901132583618,0.9994317889213562,0.47759976983070374,235710.0,3518.0,0.8278493285179138,0.5786579251289368,0.827849268913269,0.5786579251289368,0.827849268913269,668.0,5.0,0.8049209117889404,0.9965132474899292,0.6814497113227844,67099.0,1429.0,0.0010000000474974513
7,0.7922888994216919,0.5485715270042419,0.7922888994216919,0.5485715270042419,0.7922888994216919,2907.0,2.0,1.0032938718795776,0.9995516538619995,0.6053488850593567,235710.0,4459.0,0.7801621556282043,0.5473411083221436,0.7801620960235596,0.5473411083221436,0.7801620960235596,704.0,6.0,0.9537543654441833,0.9957112073898315,0.6642823219299316,67098.0,1393.0,0.0010000000474974513
8,0.837225079536438,0.6072821021080017,0.8372250199317932,0.6072821021080017,0.8372250199317932,2374.0,4.0,0.8217594027519226,0.9991993308067322,0.6777083873748779,235708.0,4992.0,0.8741058707237244,0.627926230430603,0.8741058111190796,0.627926230430603,0.8741058111190796,515.0,2.0,0.5571687817573547,0.9987373948097229,0.7544110417366028,67102.0,1582.0,0.0010000000474974513
9,0.8759163618087769,0.6580938100814819,0.8759163022041321,0.6580938100814819,0.8759163022041321,2021.0,4.0,0.6788010001182556,0.999252200126648,0.7256312966346741,235708.0,5345.0,0.729613721370697,0.515546977519989,0.7296136617660522,0.515546977519989,0.7296136617660522,698.0,388.0,1.1411186456680298,0.7828763127326965,0.6671435236930847,66716.0,1399.0,0.0010000000474974513
10,0.8992668986320496,0.6930798292160034,0.8992668390274048,0.6930798292160034,0.8992668390274048,1729.0,3.0,0.5660148859024048,0.9994680881500244,0.765272855758667,235709.0,5637.0,0.8726752400398254,0.6418769359588623,0.8726751804351807,0.6418769359588623,0.8726751804351807,391.0,11.0,0.4831998944282532,0.9935934543609619,0.8135431408882141,67093.0,1706.0,0.0010000000474974513
11,0.9173228144645691,0.7240562438964844,0.9173227548599243,0.7240562438964844,0.9173227548599243,1426.0,7.0,0.4691845178604126,0.9988229274749756,0.8064078092575073,235705.0,5940.0,0.907010018825531,0.689862847328186,0.9070099592208862,0.689862847328186,0.9070099592208862,270.0,1.0,0.3632058799266815,0.9994529485702515,0.8712446093559265,67103.0,1827.0,0.0010000000474974513
12,0.9346999526023865,0.7701460719108582,0.9346998929977417,0.7701460719108582,0.9346998929977417,1167.0,9.0,0.38518938422203064,0.9985502362251282,0.8415693640708923,235703.0,6199.0,0.823557436466217,0.5827563405036926,0.8235573768615723,0.5827563405036926,0.8235573768615723,415.0,249.0,0.7820743918418884,0.8710512518882751,0.8020982146263123,66855.0,1682.0,0.0010000000474974513
