,precision,recall,f1-score,support
0,0.9090909090909091,1.0,0.9523809523809523,10.0
1,1.0,1.0,1.0,43.0
2,1.0,1.0,1.0,100.0
3,1.0,1.0,1.0,30.0
4,1.0,1.0,1.0,6.0
5,1.0,1.0,1.0,46.0
6,1.0,0.8333333333333334,0.9090909090909091,6.0
7,1.0,1.0,1.0,20.0
8,1.0,1.0,1.0,47.0
9,1.0,1.0,1.0,52.0
10,1.0,1.0,1.0,7.0
11,1.0,1.0,1.0,42.0
12,1.0,1.0,1.0,29.0
13,1.0,1.0,1.0,14.0
14,1.0,1.0,1.0,53.0
15,1.0,1.0,1.0,38.0
16,1.0,1.0,1.0,62.0
17,1.0,1.0,1.0,56.0
18,1.0,1.0,1.0,9.0
19,1.0,1.0,1.0,47.0
20,1.0,1.0,1.0,18.0
21,1.0,1.0,1.0,19.0
22,1.0,1.0,1.0,50.0
23,1.0,1.0,1.0,17.0
24,1.0,1.0,1.0,25.0
25,1.0,1.0,1.0,48.0
26,1.0,1.0,1.0,44.0
27,0.9375,1.0,0.967741935483871,15.0
28,1.0,1.0,1.0,50.0
29,1.0,1.0,1.0,13.0
30,1.0,1.0,1.0,53.0
31,1.0,0.8571428571428571,0.9230769230769231,7.0
32,1.0,1.0,1.0,8.0
accuracy,0.9981549815498155,0.9981549815498155,0.9981549815498155,0.9981549815498155
macro avg,0.9953512396694214,0.9906204906204906,0.9924936581828079,1084.0
weighted avg,0.998296502851392,0.9981549815498155,0.9981144118746785,1084.0
