epoch,accuracy,f1_beta_macro,f1_beta_micro,f1_macro,f1_micro,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_f1_beta_macro,val_f1_beta_micro,val_f1_macro,val_f1_micro,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp,learning_rate
0,0.4193592071533203,0.25736531615257263,0.41935914754867554,0.25736531615257263,0.41935914754867554,6541.0,0.0,2.378575086593628,1.0,0.11200108379125595,235712.0,825.0,0.7272293567657471,0.4591847062110901,0.7272292971611023,0.4591847062110901,0.7272292971611023,1145.0,1.0,1.2989598512649536,0.9989506602287292,0.453981876373291,67103.0,952.0,0.0010000000474974513
1,0.814146101474762,0.5933170318603516,0.8141460418701172,0.5933170318603516,0.8141460418701172,2605.0,3.0,0.9280943870544434,0.999370276927948,0.6463480591773987,235709.0,4761.0,0.9327610731124878,0.7465648651123047,0.932761013507843,0.7465648651123047,0.932761013507843,325.0,0.0,0.3527172803878784,1.0,0.8450167179107666,67104.0,1772.0,0.0010000000474974513
2,0.9257398843765259,0.7710580825805664,0.9257398247718811,0.7710580825805664,0.9257398247718811,1168.0,10.0,0.421222448348999,0.9983891844749451,0.841433584690094,235702.0,6198.0,0.9628040194511414,0.8356261849403381,0.9628039598464966,0.8356261849403381,0.9628039598464966,158.0,0.0,0.20552091300487518,1.0,0.9246542453765869,67104.0,1939.0,0.0010000000474974513
3,0.9691827297210693,0.9181985259056091,0.9691826701164246,0.9181985259056091,0.9691826701164246,586.0,12.0,0.21281693875789642,0.9982331991195679,0.9204452633857727,235700.0,6780.0,0.9861707091331482,0.9509943127632141,0.9861706495285034,0.9509943127632141,0.9861706495285034,41.0,0.0,0.0657159760594368,1.0,0.9804482460021973,67104.0,2056.0,0.0010000000474974513
4,0.9860168099403381,0.9676602482795715,0.9860167503356934,0.9676602482795715,0.9860167503356934,269.0,15.0,0.11543828994035721,0.9978908896446228,0.9634808301925659,235697.0,7097.0,0.9871244430541992,0.962852954864502,0.9871243834495544,0.962852954864502,0.9871243834495544,33.0,5.0,0.055526334792375565,0.9975833892822266,0.9842632412910461,67099.0,2064.0,0.0010000000474974513
5,0.9922617673873901,0.9823263883590698,0.9922617077827454,0.9823263883590698,0.9922617077827454,140.0,8.0,0.07121394574642181,0.9988940954208374,0.9809937477111816,235704.0,7226.0,0.9918931722640991,0.9758208394050598,0.9918931126594543,0.9758208394050598,0.9918931126594543,22.0,1.0,0.029517076909542084,0.9995182752609253,0.9895088076591492,67103.0,2075.0,0.0010000000474974513
6,0.9945696592330933,0.9884560108184814,0.9945695996284485,0.9884560108184814,0.9945695996284485,79.0,6.0,0.04770929366350174,0.9991772770881653,0.9892750382423401,235706.0,7287.0,0.9885550737380981,0.9717825651168823,0.9885550141334534,0.9717825651168823,0.9885550141334534,28.0,20.0,0.046625468879938126,0.9904260635375977,0.9866476058959961,67084.0,2069.0,0.0010000000474974513
7,0.9971490502357483,0.9948469400405884,0.9971489906311035,0.9948469400405884,0.9971489906311035,54.0,4.0,0.03393424674868584,0.9994532465934753,0.9926690459251404,235708.0,7312.0,0.9971387982368469,0.9928926229476929,0.9971387386322021,0.9928926229476929,0.9971387386322021,15.0,1.0,0.01699303276836872,0.999519944190979,0.9928469061851501,67103.0,2082.0,0.0010000000474974513
8,0.9975563287734985,0.9960018396377563,0.9975562691688538,0.9960018396377563,0.9975562691688538,46.0,4.0,0.027374843135476112,0.9994538426399231,0.9937551021575928,235708.0,7320.0,0.994754433631897,0.9884382486343384,0.9947543740272522,0.9884382486343384,0.9947543740272522,14.0,7.0,0.017475107684731483,0.9966506958007812,0.993323802947998,67097.0,2083.0,0.0010000000474974513
9,0.998370885848999,0.9971737861633301,0.9983708262443542,0.9971737861633301,0.9983708262443542,30.0,3.0,0.020812639966607094,0.9995912313461304,0.9959272146224976,235709.0,7336.0,0.996661901473999,0.9889910221099854,0.9966618418693542,0.9889910221099854,0.9966618418693542,12.0,2.0,0.013892189599573612,0.9990416765213013,0.9942775368690491,67102.0,2085.0,0.0010000000474974513
10,0.9990496635437012,0.9981181025505066,0.9990496039390564,0.9981181025505066,0.9990496039390564,20.0,2.0,0.01732032187283039,0.9997278451919556,0.9972848296165466,235710.0,7346.0,0.998092532157898,0.9943597912788391,0.9980924725532532,0.9943597912788391,0.9980924725532532,8.0,1.0,0.009776699356734753,0.9995215535163879,0.9961850047111511,67103.0,2089.0,0.0010000000474974513
11,0.9994569420814514,0.9990667700767517,0.9994568824768066,0.9990667700767517,0.9994568824768066,7.0,1.0,0.012880668044090271,0.9998641014099121,0.9990496635437012,235711.0,7359.0,0.996661901473999,0.990970253944397,0.9966618418693542,0.990970253944397,0.9966618418693542,8.0,2.0,0.008306186646223068,0.9990435242652893,0.9961850047111511,67102.0,2089.0,0.0010000000474974513
12,0.9994569420814514,0.9988394975662231,0.9994568824768066,0.9988394975662231,0.9994568824768066,12.0,2.0,0.01217826921492815,0.9997280836105347,0.998370885848999,235710.0,7354.0,0.998092532157898,0.9942865967750549,0.9980924725532532,0.9942865967750549,0.9980924725532532,6.0,1.0,0.008273125626146793,0.9995219707489014,0.9971387982368469,67103.0,2091.0,0.0010000000474974513
13,0.9997285008430481,0.9993860721588135,0.9997284412384033,0.9993860721588135,0.9997284412384033,7.0,1.0,0.009416693821549416,0.9998641014099121,0.9990496635437012,235711.0,7359.0,0.998092532157898,0.9942865967750549,0.9980924725532532,0.9942865967750549,0.9980924725532532,5.0,1.0,0.00731258699670434,0.9995222091674805,0.99761563539505,67103.0,2092.0,0.0010000000474974513
14,0.9998642206192017,0.9997901916503906,0.9998641610145569,0.9997901916503906,0.9998641610145569,11.0,0.0,0.010039028711616993,1.0,0.9985066652297974,235712.0,7355.0,0.9985693693161011,0.9959187507629395,0.9985693097114563,0.9959187507629395,0.9985693097114563,6.0,2.0,0.007899302989244461,0.9990444183349609,0.9971387982368469,67102.0,2091.0,0.0010000000474974513
15,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.008339372463524342,1.0,0.9997285008430481,235712.0,7364.0,0.998092532157898,0.9943597912788391,0.9980924725532532,0.9943597912788391,0.9980924725532532,5.0,2.0,0.007022679317742586,0.9990448951721191,0.99761563539505,67102.0,2092.0,0.0010000000474974513
16,0.9997285008430481,0.9993785619735718,0.9997284412384033,0.9993785619735718,0.9997284412384033,3.0,0.0,0.007097501307725906,1.0,0.9995927214622498,235712.0,7363.0,0.998092532157898,0.9943597912788391,0.9980924725532532,0.9943597912788391,0.9980924725532532,6.0,2.0,0.008497104980051517,0.9990444183349609,0.9971387982368469,67102.0,2091.0,0.0010000000474974513
17,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0052267867140471935,1.0,1.0,235712.0,7366.0,0.998092532157898,0.9947586059570312,0.9980924725532532,0.9947586059570312,0.9980924725532532,5.0,1.0,0.006800041068345308,0.9995222091674805,0.99761563539505,67103.0,2092.0,0.0010000000474974513
18,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.006243217270821333,1.0,0.9994569420814514,235712.0,7362.0,0.999046266078949,0.9978818893432617,0.9990462064743042,0.9978818893432617,0.9990462064743042,4.0,0.0,0.005873378366231918,1.0,0.998092532157898,67104.0,2093.0,0.0010000000474974513
19,0.9995927214622498,0.9992398619651794,0.999592661857605,0.9992398619651794,0.999592661857605,7.0,1.0,0.0066606407053768635,0.9998641014099121,0.9990496635437012,235711.0,7359.0,0.99761563539505,0.9933844804763794,0.9976155757904053,0.9933844804763794,0.9976155757904053,8.0,4.0,0.010496790520846844,0.9980888962745667,0.9961850047111511,67100.0,2089.0,0.0010000000474974513
20,0.9997285008430481,0.9997052550315857,0.9997284412384033,0.9997052550315857,0.9997284412384033,5.0,0.0,0.006396817043423653,1.0,0.9993212223052979,235712.0,7361.0,0.998092532157898,0.9949327111244202,0.9980924725532532,0.9949327111244202,0.9980924725532532,6.0,0.0,0.006694362033158541,1.0,0.9971387982368469,67104.0,2091.0,0.0010000000474974513
21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.004972072783857584,1.0,0.9998642206192017,235712.0,7365.0,0.9985693693161011,0.996249794960022,0.9985693097114563,0.996249794960022,0.9985693097114563,4.0,0.0,0.0048110648058354855,1.0,0.998092532157898,67104.0,2093.0,0.0010000000474974513
22,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.004817907698452473,1.0,0.9997285008430481,235712.0,7364.0,0.9985693693161011,0.996249794960022,0.9985693097114563,0.996249794960022,0.9985693097114563,4.0,1.0,0.005432136822491884,0.9995224475860596,0.998092532157898,67103.0,2093.0,0.0010000000474974513
23,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.004523259121924639,1.0,0.9997285008430481,235712.0,7364.0,0.998092532157898,0.9942865967750549,0.9980924725532532,0.9942865967750549,0.9980924725532532,4.0,1.0,0.005938481539487839,0.9995224475860596,0.998092532157898,67103.0,2093.0,0.0010000000474974513
24,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.004080928862094879,1.0,1.0,235712.0,7366.0,0.998092532157898,0.9940118789672852,0.9980924725532532,0.9940118789672852,0.9980924725532532,5.0,1.0,0.006860650610178709,0.9995222091674805,0.99761563539505,67103.0,2092.0,0.0010000000474974513
25,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.003574320115149021,1.0,1.0,235712.0,7366.0,0.9985693693161011,0.9965559244155884,0.9985693097114563,0.9965559244155884,0.9985693097114563,4.0,1.0,0.004907224792987108,0.9995224475860596,0.998092532157898,67103.0,2093.0,0.0005000000237487257
26,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0033473358489573,1.0,1.0,235712.0,7366.0,0.9985693693161011,0.996249794960022,0.9985693097114563,0.996249794960022,0.9985693097114563,4.0,1.0,0.004918035119771957,0.9995224475860596,0.998092532157898,67103.0,2093.0,0.0005000000237487257
